"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_pre_int","sd_pre_int","n_pre_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","m_pre_ctl","sd_pre_ctl","n_pre_ctl","m_post_int","m_post_ctl","sd_post_int","sd_post_ctl","n_post_int","n_post_ctl","m_delayed_int","m_delayed_ctl","sd_delayed_int","sd_delayed_ctl","n_delayed_int","n_delayed_ctl","num_month_of_delayed_int","num_month_of_delayed_ctl"
"113","113m","2",51,"Gates Comprehension Test (level 4)","YES - standardized",NA,NA,NA,"113bau","ctl",53,NA,NA,NA,484.86,484,16.78,8.72,229.6,98.4,NA,NA,NA,NA,NA,NA,NA,NA
"113","113m","2",52,"Multiple text comprehension","NO - Not standardized",NA,NA,NA,"113bau","ctl",54,NA,NA,NA,3,2.67,0,0.58,229.6,98.4,NA,NA,NA,NA,NA,NA,NA,NA
"114","114Ncm","1",55,"Reading comprehension  Accuracy (from RAMA-the Israeli National Authority for Measurement and Evaluation (2015))","YES - standardized",NA,NA,NA,"114bau","ctl",56,NA,NA,NA,84.55,60.67,8.77,22.73,29,29,NA,NA,NA,NA,NA,NA,NA,NA
"115","115NVm","1",57,"RC  (SRT) pretest ONLY - Sentence Reading Test","YES - standardized",15.47,4.43,103,"115bau","ctl",61,16.46,5.28,113,NA,NA,NA,NA,89,90,NA,NA,NA,NA,NA,NA,NA,NA
"115","115NVm","1",58,"RC  (maze)","NO - Not standardized",NA,NA,NA,"115bau","ctl",62,NA,NA,NA,22.04,23.21,7.19,7.33,89,90,NA,NA,NA,NA,NA,NA,NA,NA
"115","115NVm","1",59,"RC (NLCT)","YES - standardized",NA,NA,NA,"115bau","ctl",63,NA,NA,NA,6.01,6.25,2.13,1.98,89,90,NA,NA,NA,NA,NA,NA,NA,NA
"115","115NVm","1",60,"RC (RGT)","NO - Not standardized",NA,NA,NA,"115bau","ctl",64,NA,NA,NA,6.24,5.89,3.09,2.92,89,90,NA,NA,NA,NA,NA,NA,NA,NA
"117","117Nm","1",80,"(T4) Multiple text comprehension","NO - Not standardized",3.13,1.1,148,"117m","ctl",82,2.19,0.78,213,3.65,2.87,1.04,0.51,148,213,NA,NA,NA,NA,NA,NA,NA,NA
"117","117Nm","1",81,"(T4) Passage comprehension","NO - Not standardized",0.31,0.18,148,"117m","ctl",83,0.15,0.15,213,0.56,0.31,0.14,0.16,148,213,NA,NA,NA,NA,NA,NA,NA,NA
"118","118Nm","1",84,"Passage comprehension (Pre/post)","NO - Not standardized",0.33,0.11,191,"118bau","ctl",88,0.32,0.049,76,0.46,0.35,0.098,0.04,191,76,NA,NA,NA,NA,NA,NA,NA,NA
